domain,fold,n,f1,precision,recall,accuracy
Random sequence generation,0,30,0.81632653061224492,0.68965517241379315,1.0,0.69999999999999996
Random sequence generation,1,30,0.74999999999999989,0.59999999999999998,1.0,0.59999999999999998
Random sequence generation,2,29,0.86363636363636354,0.79166666666666663,0.94999999999999996,0.7931034482758621
Random sequence generation,3,34,0.76595744680851074,0.62068965517241381,1.0,0.67647058823529416
Random sequence generation,4,33,0.78260869565217395,0.78260869565217395,0.78260869565217395,0.69696969696969702
Random sequence generation,mean,156,0.79570580734185858,0.69692403798100944,0.9465217391304348,0.69330874669617071
,,,,,,
Allocation concealment,0,40,0.40000000000000002,0.66666666666666663,0.2857142857142857,0.69999999999999996
Allocation concealment,1,40,0.73333333333333339,0.84615384615384615,0.6470588235294118,0.80000000000000004
Allocation concealment,2,40,0.53846153846153844,1.0,0.36842105263157893,0.69999999999999996
Allocation concealment,3,40,0.55555555555555558,0.83333333333333337,0.41666666666666669,0.80000000000000004
Allocation concealment,4,40,0.75,0.88235294117647056,0.65217391304347827,0.75
Allocation concealment,mean,200,0.59547008547008551,0.84570135746606334,0.47400694831708429,0.75
,,,,,,
Blinding of participants and personnel,0,29,0.40000000000000002,0.59999999999999998,0.29999999999999999,0.68965517241379315
Blinding of participants and personnel,1,27,0.46153846153846151,0.59999999999999998,0.375,0.7407407407407407
Blinding of participants and personnel,2,28,0.77777777777777768,0.69999999999999996,0.875,0.8571428571428571
Blinding of participants and personnel,3,32,0.0,0.0,0.0,0.75
Blinding of participants and personnel,4,31,0.18181818181818182,1.0,0.10000000000000001,0.70967741935483875
Blinding of participants and personnel,mean,147,0.36422688422688421,0.57999999999999996,0.33000000000000002,0.74944323793044598
,,,,,,
Blinding of outcome assessment,0,22,0.49999999999999989,0.46153846153846156,0.54545454545454541,0.45454545454545453
Blinding of outcome assessment,1,20,0.30769230769230765,0.66666666666666663,0.20000000000000001,0.55000000000000004
Blinding of outcome assessment,2,20,0.61538461538461531,0.44444444444444442,1.0,0.5
Blinding of outcome assessment,3,26,0.60869565217391297,0.53846153846153844,0.69999999999999996,0.65384615384615385
Blinding of outcome assessment,4,21,0.55555555555555558,1.0,0.38461538461538464,0.61904761904761907
Blinding of outcome assessment,mean,109,0.51746562616127834,0.62222222222222223,0.566013986013986,0.55548784548784558
,,,,,,
Incomplete outcome data,0,30,0.6428571428571429,0.75,0.5625,0.66666666666666663
Incomplete outcome data,1,30,0.30769230769230771,0.5714285714285714,0.21052631578947367,0.40000000000000002
Incomplete outcome data,2,28,0.71999999999999986,0.69230769230769229,0.75,0.75
Incomplete outcome data,3,32,0.32000000000000001,0.40000000000000002,0.26666666666666666,0.46875
Incomplete outcome data,4,31,0.10526315789473684,1.0,0.055555555555555552,0.45161290322580644
Incomplete outcome data,mean,151,0.4191625216888375,0.68274725274725268,0.36904970760233918,0.54740591397849458
,,,,,,
Selective reporting,0,9,0.61538461538461531,0.44444444444444442,1.0,0.44444444444444442
Selective reporting,1,5,1.0,1.0,1.0,1.0
Selective reporting,2,5,0.5,0.33333333333333331,1.0,0.59999999999999998
Selective reporting,3,7,0.8571428571428571,1.0,0.75,0.8571428571428571
Selective reporting,4,9,0.66666666666666663,1.0,0.5,0.66666666666666663
Selective reporting,mean,35,0.72783882783882781,0.75555555555555554,0.84999999999999998,0.71365079365079365
,,,,,,
Other,0,8,0.40000000000000002,1.0,0.25,0.625
Other,1,7,0.25,0.14285714285714285,1.0,0.14285714285714285
Other,2,8,0.74999999999999989,1.0,0.59999999999999998,0.75
Other,3,9,0.54545454545454541,0.42857142857142855,0.75,0.44444444444444442
Other,4,12,0.66666666666666663,1.0,0.5,0.75
Other,mean,44,0.52242424242424235,0.71428571428571419,0.62,0.54246031746031742
,,,,,,
