domain,fold,n,f1,precision,recall,accuracy
Random sequence generation,0,30,0.80000000000000004,0.66666666666666663,1.0,0.66666666666666663
Random sequence generation,1,30,0.74999999999999989,0.59999999999999998,1.0,0.59999999999999998
Random sequence generation,2,29,0.81632653061224492,0.68965517241379315,1.0,0.68965517241379315
Random sequence generation,3,34,0.6923076923076924,0.52941176470588236,1.0,0.52941176470588236
Random sequence generation,4,33,0.82142857142857151,0.69696969696969702,1.0,0.69696969696969702
Random sequence generation,mean,156,0.77601255886970177,0.6365406601512078,1.0,0.6365406601512078
,,,,,,
Allocation concealment,0,40,0.51851851851851849,0.34999999999999998,1.0,0.34999999999999998
Allocation concealment,1,40,0.59649122807017541,0.42499999999999999,1.0,0.42499999999999999
Allocation concealment,2,40,0.64406779661016944,0.47499999999999998,1.0,0.47499999999999998
Allocation concealment,3,40,0.46153846153846151,0.29999999999999999,1.0,0.29999999999999999
Allocation concealment,4,40,0.73015873015873012,0.57499999999999996,1.0,0.57499999999999996
Allocation concealment,mean,200,0.590154946979211,0.42499999999999999,1.0,0.42499999999999999
,,,,,,
Blinding of participants and personnel,0,29,0.51282051282051289,0.34482758620689657,1.0,0.34482758620689657
Blinding of participants and personnel,1,27,0.45714285714285713,0.29629629629629628,1.0,0.29629629629629628
Blinding of participants and personnel,2,28,0.44444444444444448,0.2857142857142857,1.0,0.2857142857142857
Blinding of participants and personnel,3,32,0.40000000000000002,0.25,1.0,0.25
Blinding of participants and personnel,4,31,0.48780487804878048,0.32258064516129031,1.0,0.32258064516129031
Blinding of participants and personnel,mean,147,0.460442538491319,0.29988376267575378,1.0,0.29988376267575378
,,,,,,
Blinding of outcome assessment,0,22,0.66666666666666663,0.5,1.0,0.5
Blinding of outcome assessment,1,20,0.66666666666666663,0.5,1.0,0.5
Blinding of outcome assessment,2,20,0.57142857142857151,0.40000000000000002,1.0,0.40000000000000002
Blinding of outcome assessment,3,26,0.55555555555555558,0.38461538461538464,1.0,0.38461538461538464
Blinding of outcome assessment,4,21,0.76470588235294124,0.61904761904761907,1.0,0.61904761904761907
Blinding of outcome assessment,mean,109,0.64500466853408034,0.48073260073260071,1.0,0.48073260073260071
,,,,,,
Incomplete outcome data,0,30,0.69565217391304357,0.53333333333333333,1.0,0.53333333333333333
Incomplete outcome data,1,30,0.77551020408163263,0.6333333333333333,1.0,0.6333333333333333
Incomplete outcome data,2,28,0.59999999999999998,0.42857142857142855,1.0,0.42857142857142855
Incomplete outcome data,3,32,0.63829787234042556,0.46875,1.0,0.46875
Incomplete outcome data,4,31,0.73469387755102045,0.58064516129032262,1.0,0.58064516129032262
Incomplete outcome data,mean,151,0.68883082557722441,0.5289266513056835,1.0,0.5289266513056835
,,,,,,
Selective reporting,0,9,0.61538461538461531,0.44444444444444442,1.0,0.44444444444444442
Selective reporting,1,5,1.0,1.0,1.0,1.0
Selective reporting,2,5,0.33333333333333337,0.20000000000000001,1.0,0.20000000000000001
Selective reporting,3,7,0.72727272727272729,0.5714285714285714,1.0,0.5714285714285714
Selective reporting,4,9,0.80000000000000004,0.66666666666666663,1.0,0.66666666666666663
Selective reporting,mean,35,0.69519813519813523,0.57650793650793652,1.0,0.57650793650793652
,,,,,,
Other,0,8,0.66666666666666663,0.5,1.0,0.5
Other,1,7,0.25,0.14285714285714285,1.0,0.14285714285714285
Other,2,8,0.76923076923076927,0.625,1.0,0.625
Other,3,9,0.61538461538461531,0.44444444444444442,1.0,0.44444444444444442
Other,4,12,0.66666666666666663,0.5,1.0,0.5
Other,mean,44,0.59358974358974348,0.44246031746031739,1.0,0.44246031746031739
,,,,,,
