domain,fold,n,f1,precision,recall,accuracy
Random sequence generation,0,874,0.7602836879432624,0.61327231121281467,1.0,0.61327231121281467
Random sequence generation,mean,874,0.7602836879432624,0.61327231121281467,1.0,0.61327231121281467
,,,,,,
Allocation concealment,0,1432,0.66666666666666663,0.5,1.0,0.5
Allocation concealment,mean,1432,0.66666666666666663,0.5,1.0,0.5
,,,,,,
Blinding of participants and personnel,0,732,0.68108108108108112,0.51639344262295084,1.0,0.51639344262295084
Blinding of participants and personnel,mean,732,0.68108108108108112,0.51639344262295084,1.0,0.51639344262295084
,,,,,,
Blinding of outcome assessment,0,142,0.55837563451776651,0.38732394366197181,1.0,0.38732394366197181
Blinding of outcome assessment,mean,142,0.55837563451776651,0.38732394366197181,1.0,0.38732394366197181
,,,,,,
Incomplete outcome data,0,801,0.77522935779816515,0.63295880149812733,1.0,0.63295880149812733
Incomplete outcome data,mean,801,0.77522935779816515,0.63295880149812733,1.0,0.63295880149812733
,,,,,,
Selective reporting,0,569,0.76572668112798259,0.62038664323374337,1.0,0.62038664323374337
Selective reporting,mean,569,0.76572668112798259,0.62038664323374337,1.0,0.62038664323374337
,,,,,,
Other,0,508,0.67189542483660125,0.50590551181102361,1.0,0.50590551181102361
Other,mean,508,0.67189542483660125,0.50590551181102361,1.0,0.50590551181102361
,,,,,,
