domain,fold,n,f1,precision,recall,accuracy
Random sequence generation,0,874,0.87464655984919881,0.88380952380952382,0.86567164179104472,0.84782608695652173
Random sequence generation,mean,874,0.87464655984919881,0.88380952380952382,0.86567164179104472,0.84782608695652173
,,,,,,
Allocation concealment,0,1432,0.80307262569832405,0.80307262569832405,0.80307262569832405,0.80307262569832405
Allocation concealment,mean,1432,0.80307262569832405,0.80307262569832405,0.80307262569832405,0.80307262569832405
,,,,,,
Blinding of participants and personnel,0,732,0.76190476190476175,0.78431372549019607,0.7407407407407407,0.76092896174863389
Blinding of participants and personnel,mean,732,0.76190476190476175,0.78431372549019607,0.7407407407407407,0.76092896174863389
,,,,,,
Blinding of outcome assessment,0,142,0.81355932203389825,0.76190476190476186,0.87272727272727268,0.84507042253521125
Blinding of outcome assessment,mean,142,0.81355932203389825,0.76190476190476186,0.87272727272727268,0.84507042253521125
,,,,,,
Incomplete outcome data,0,801,0.78606965174129362,0.79317269076305219,0.77909270216962523,0.73158551810237205
Incomplete outcome data,mean,801,0.78606965174129362,0.79317269076305219,0.77909270216962523,0.73158551810237205
,,,,,,
Selective reporting,0,569,0.78041958041958037,0.77071823204419887,0.79036827195467418,0.72407732864674867
Selective reporting,mean,569,0.78041958041958037,0.77071823204419887,0.79036827195467418,0.72407732864674867
,,,,,,
Other,0,508,0.72830188679245278,0.706959706959707,0.75097276264591439,0.71653543307086609
Other,mean,508,0.72830188679245278,0.706959706959707,0.75097276264591439,0.71653543307086609
,,,,,,
