domain,fold,n,f1,precision,recall,accuracy
Random sequence generation,0,874,0.80779000846740046,0.73953488372093024,0.8899253731343284,0.7402745995423341
Random sequence generation,mean,874,0.80779000846740046,0.73953488372093024,0.8899253731343284,0.7402745995423341
,,,,,,
Allocation concealment,0,1432,0.65920000000000001,0.77153558052434457,0.57541899441340782,0.70251396648044695
Allocation concealment,mean,1432,0.65920000000000001,0.77153558052434457,0.57541899441340782,0.70251396648044695
,,,,,,
Blinding of participants and personnel,0,732,0.65610142630744861,0.81818181818181823,0.54761904761904767,0.70355191256830596
Blinding of participants and personnel,mean,732,0.65610142630744861,0.81818181818181823,0.54761904761904767,0.70355191256830596
,,,,,,
Blinding of outcome assessment,0,142,0.57599999999999996,0.51428571428571423,0.65454545454545454,0.62676056338028174
Blinding of outcome assessment,mean,142,0.57599999999999996,0.51428571428571423,0.65454545454545454,0.62676056338028174
,,,,,,
Incomplete outcome data,0,801,0.76909722222222221,0.68682170542635657,0.87376725838264302,0.66791510611735327
Incomplete outcome data,mean,801,0.76909722222222221,0.68682170542635657,0.87376725838264302,0.66791510611735327
,,,,,,
Selective reporting,0,569,0.77385620915032682,0.71844660194174759,0.83852691218130315,0.69595782073813706
Selective reporting,mean,569,0.77385620915032682,0.71844660194174759,0.83852691218130315,0.69595782073813706
,,,,,,
Other,0,508,0.68458781362007171,0.63455149501661134,0.74319066147859925,0.65354330708661412
Other,mean,508,0.68458781362007171,0.63455149501661134,0.74319066147859925,0.65354330708661412
,,,,,,
