domain,fold,n,f1,precision,recall,accuracy
Random sequence generation,0,874,0.80136986301369861,0.740506329113924,0.87313432835820892,0.73455377574370706
Random sequence generation,mean,874,0.80136986301369861,0.740506329113924,0.87313432835820892,0.73455377574370706
,,,,,,
Allocation concealment,0,1432,0.69452887537993935,0.76166666666666671,0.63826815642458101,0.71927374301675973
Allocation concealment,mean,1432,0.69452887537993935,0.76166666666666671,0.63826815642458101,0.71927374301675973
,,,,,,
Blinding of participants and personnel,0,732,0.47565543071161043,0.8141025641025641,0.33597883597883599,0.61748633879781423
Blinding of participants and personnel,mean,732,0.47565543071161043,0.8141025641025641,0.33597883597883599,0.61748633879781423
,,,,,,
Blinding of outcome assessment,0,142,0.54385964912280704,0.52542372881355937,0.5636363636363636,0.63380281690140849
Blinding of outcome assessment,mean,142,0.54385964912280704,0.52542372881355937,0.5636363636363636,0.63380281690140849
,,,,,,
Incomplete outcome data,0,801,0.71984805318138656,0.69413919413919412,0.74753451676528604,0.63171036204744069
Incomplete outcome data,mean,801,0.71984805318138656,0.69413919413919412,0.74753451676528604,0.63171036204744069
,,,,,,
Selective reporting,0,569,0.7493606138107417,0.68298368298368295,0.83002832861189801,0.65553602811950795
Selective reporting,mean,569,0.7493606138107417,0.68298368298368295,0.83002832861189801,0.65553602811950795
,,,,,,
Other,0,508,0.63562753036437247,0.66244725738396626,0.6108949416342413,0.64566929133858264
Other,mean,508,0.63562753036437247,0.66244725738396626,0.6108949416342413,0.64566929133858264
,,,,,,
