domain,fold,n,f1,precision,recall,accuracy
Random sequence generation,0,1704,0.72311727238666168,0.56631455399061037,1.0,0.56631455399061037
Random sequence generation,1,1704,0.73072625698324023,0.57570422535211263,1.0,0.57570422535211263
Random sequence generation,2,1704,0.70615034168564927,0.54577464788732399,1.0,0.54577464788732399
Random sequence generation,3,1704,0.72168042010502631,0.56455399061032863,1.0,0.56455399061032863
Random sequence generation,4,1703,0.72434456928838953,0.56782149148561367,1.0,0.56782149148561367
Random sequence generation,mean,8519,0.72120377208979347,0.56403378186519793,1.0,0.56403378186519793
,,,,,,
Allocation concealment,0,2257,0.60807893925377743,0.43686309260079753,1.0,0.43686309260079753
Allocation concealment,1,2257,0.63913174555321073,0.46964997784669915,1.0,0.46964997784669915
Allocation concealment,2,2257,0.62879708383961119,0.45857332742578644,1.0,0.45857332742578644
Allocation concealment,3,2257,0.62210012210012211,0.45148427115640233,1.0,0.45148427115640233
Allocation concealment,4,2257,0.61235782354749468,0.44129375276916261,1.0,0.44129375276916261
Allocation concealment,mean,11285,0.62209314285884321,0.45157288435976961,1.0,0.45157288435976961
,,,,,,
Blinding of participants and personnel,0,1637,0.62089300758213983,0.45021380574221137,1.0,0.45021380574221137
Blinding of participants and personnel,1,1637,0.61035653650254662,0.43921808185705558,1.0,0.43921808185705558
Blinding of participants and personnel,2,1637,0.59424645770717044,0.42272449602932194,1.0,0.42272449602932194
Blinding of participants and personnel,3,1636,0.6094347641308967,0.43826405867970658,1.0,0.43826405867970658
Blinding of participants and personnel,4,1636,0.59570815450643777,0.42420537897310512,1.0,0.42420537897310512
Blinding of participants and personnel,mean,8183,0.60612778408583823,0.43492516425628008,1.0,0.43492516425628008
,,,,,,
Blinding of outcome assessment,0,569,0.6289156626506025,0.45869947275922673,1.0,0.45869947275922673
Blinding of outcome assessment,1,569,0.64038231780167265,0.47100175746924428,1.0,0.47100175746924428
Blinding of outcome assessment,2,569,0.67211201866977832,0.5061511423550088,1.0,0.5061511423550088
Blinding of outcome assessment,3,569,0.64200477326968974,0.47275922671353249,1.0,0.47275922671353249
Blinding of outcome assessment,4,569,0.64038231780167265,0.47100175746924428,1.0,0.47100175746924428
Blinding of outcome assessment,mean,2845,0.6447594180386832,0.47592267135325128,1.0,0.47592267135325128
,,,,,,
Incomplete outcome data,0,1686,0.77247906807426292,0.62930011862396207,1.0,0.62930011862396207
Incomplete outcome data,1,1686,0.75892528524107472,0.61150652431791219,1.0,0.61150652431791219
Incomplete outcome data,2,1686,0.76934306569343069,0.6251482799525504,1.0,0.6251482799525504
Incomplete outcome data,3,1686,0.77203204661325564,0.62870699881376035,1.0,0.62870699881376035
Incomplete outcome data,4,1685,0.76239441792141027,0.61602373887240358,1.0,0.61602373887240358
Incomplete outcome data,mean,8429,0.76703477670868692,0.62213713211611776,1.0,0.62213713211611776
,,,,,,
Selective reporting,0,1410,0.73201438848920852,0.57730496453900704,1.0,0.57730496453900704
Selective reporting,1,1410,0.75441696113074197,0.60567375886524821,1.0,0.60567375886524821
Selective reporting,2,1410,0.73599282832810409,0.5822695035460993,1.0,0.5822695035460993
Selective reporting,3,1409,0.7414024117909781,0.58907026259758699,1.0,0.58907026259758699
Selective reporting,4,1409,0.72257479601087948,0.56564939673527326,1.0,0.56564939673527326
Selective reporting,mean,7048,0.73728027714998245,0.58399357725664303,1.0,0.58399357725664303
,,,,,,
Other,0,1389,0.66378066378066369,0.49676025917926564,1.0,0.49676025917926564
Other,1,1389,0.69454887218045114,0.53203743700503958,1.0,0.53203743700503958
Other,2,1389,0.67398568019093075,0.50827933765298772,1.0,0.50827933765298772
Other,3,1389,0.66378066378066369,0.49676025917926564,1.0,0.49676025917926564
Other,4,1388,0.68684957426679283,0.52305475504322763,1.0,0.52305475504322763
Other,mean,6944,0.67658909083990049,0.51137840961195724,1.0,0.51137840961195724
,,,,,,
