domain,fold,n,f1,precision,recall,accuracy
Random sequence generation,0,1704,0.78162008526764559,0.71989528795811519,0.85492227979274615,0.72946009389671362
Random sequence generation,1,1704,0.78757423481041577,0.71357615894039739,0.87869520897043829,0.727112676056338
Random sequence generation,2,1704,0.7292015633724177,0.7584204413472706,0.7021505376344086,0.71537558685446012
Random sequence generation,3,1704,0.75794085432639646,0.80092592592592593,0.71933471933471937,0.74061032863849763
Random sequence generation,4,1703,0.78155093765838834,0.76640159045725642,0.79731127197518092,0.74691720493247216
Random sequence generation,mean,8519,0.76757753508705284,0.75184388092579313,0.79048280354149869,0.73189517807569626
,,,,,,
Allocation concealment,0,2257,0.68280383257690369,0.67903711133400202,0.68661257606490878,0.72131147540983609
Allocation concealment,1,2257,0.67729930887825629,0.77588306942752738,0.60094339622641513,0.73105892778023929
Allocation concealment,2,2257,0.70252873563218388,0.6701754385964912,0.73816425120772944,0.71333628710677888
Allocation concealment,3,2257,0.70089495996231754,0.67391304347826086,0.73012757605495582,0.71865307930881706
Allocation concealment,4,2257,0.67489711934156371,0.69198312236286919,0.65863453815261042,0.71998227735932652
Allocation concealment,mean,11285,0.687684791278245,0.69819835703983002,0.68289646754132394,0.72086840939299957
,,,,,,
Blinding of participants and personnel,0,1637,0.62521294718909715,0.8398169336384439,0.49796472184531887,0.73121563836285886
Blinding of participants and personnel,1,1637,0.66941467436108826,0.82186234817813764,0.56467315716272604,0.75503970678069643
Blinding of participants and personnel,2,1637,0.70690909090909093,0.71156661786237185,0.70231213872832365,0.75381795968234577
Blinding of participants and personnel,3,1636,0.62975778546712802,0.82915717539863321,0.50767085076708507,0.73838630806845962
Blinding of participants and personnel,4,1636,0.68052516411378561,0.54850088183421519,0.89625360230547546,0.64303178484107582
Blinding of participants and personnel,mean,8183,0.66236393240803793,0.75018079138236038,0.6337748941617859,0.72429827954708736
,,,,,,
Blinding of outcome assessment,0,569,0.63687150837988815,0.61956521739130432,0.65517241379310343,0.65729349736379616
Blinding of outcome assessment,1,569,0.54901960784313719,0.80000000000000004,0.41791044776119401,0.67662565905096661
Blinding of outcome assessment,2,569,0.64419475655430702,0.69918699186991873,0.59722222222222221,0.66608084358523723
Blinding of outcome assessment,3,569,0.68318584070796462,0.65202702702702697,0.71747211895910779,0.68541300527240778
Blinding of outcome assessment,4,569,0.65073529411764708,0.64130434782608692,0.66044776119402981,0.66608084358523723
Blinding of outcome assessment,mean,2845,0.63280140152058872,0.68241671682286742,0.60964499278593143,0.67029876977152902
,,,,,,
Incomplete outcome data,0,1686,0.71146616541353391,0.7094657919400188,0.71347785108388317,0.63582443653618026
Incomplete outcome data,1,1686,0.76254180602006683,0.67009551800146949,0.88457807953443257,0.66310794780545668
Incomplete outcome data,2,1686,0.75701337936987478,0.69437846397466352,0.83206831119544589,0.66607354685646503
Incomplete outcome data,3,1686,0.74267968056787925,0.70100502512562812,0.78962264150943395,0.65599051008303677
Incomplete outcome data,4,1685,0.75662251655629142,0.6632801161103048,0.88053949903660889,0.65103857566765577
Incomplete outcome data,mean,8429,0.74606470958552917,0.68764498303041699,0.82005727647196092,0.65440700338975888
,,,,,,
Selective reporting,0,1410,0.75255226057365099,0.6226870474658085,0.9508599508599509,0.63900709219858154
Selective reporting,1,1410,0.76002137894174249,0.69911504424778759,0.83255269320843095,0.6815602836879433
Selective reporting,2,1410,0.75983854692230068,0.64857881136950901,0.91717417783191235,0.66241134751773045
Selective reporting,3,1409,0.76461295418641395,0.67913938260056128,0.87469879518072291,0.6827537260468417
Selective reporting,4,1409,0.74130105900151289,0.6197301854974705,0.92220828105395236,0.63591199432221435
Selective reporting,mean,7048,0.75566523992512424,0.65385009423622731,0.89949877962699387,0.66032888875466234
,,,,,,
Other,0,1389,0.64697406340057639,0.64326647564469919,0.6507246376811594,0.64722822174226058
Other,1,1389,0.60048038430744599,0.73529411764705888,0.50744248985115026,0.64074874010079197
Other,2,1389,0.70470588235294118,0.60261569416498995,0.84844192634560911,0.63858891288696906
Other,3,1389,0.62873814733770972,0.63289280469897213,0.62463768115942031,0.63354931605471565
Other,4,1388,0.67262284620293544,0.62663495838287753,0.72589531680440766,0.6304034582132565
Other,mean,6944,0.65070426472032172,0.64814081010771951,0.67142841036834944,0.63810372979959873
,,,,,,
