domain,fold,n,f1,precision,recall,accuracy
Random sequence generation,0,1704,0.76688023656973869,0.73120300751879697,0.80621761658031088,0.72241784037558687
Random sequence generation,1,1704,0.78757423481041577,0.71357615894039739,0.87869520897043829,0.727112676056338
Random sequence generation,2,1704,0.7292015633724177,0.7584204413472706,0.7021505376344086,0.71537558685446012
Random sequence generation,3,1704,0.7293986636971046,0.78537170263788969,0.68087318087318083,0.71478873239436624
Random sequence generation,4,1703,0.78155093765838834,0.76640159045725642,0.79731127197518092,0.74691720493247216
Random sequence generation,mean,8519,0.75892112722161298,0.75099458018032228,0.77304956320670404,0.72532240812264459
,,,,,,
Allocation concealment,0,2257,0.68280383257690369,0.67903711133400202,0.68661257606490878,0.72131147540983609
Allocation concealment,1,2257,0.69817823732151651,0.73017507723995878,0.6688679245283019,0.72840053167922025
Allocation concealment,2,2257,0.70252873563218388,0.6701754385964912,0.73816425120772944,0.71333628710677888
Allocation concealment,3,2257,0.64644236072807493,0.73803526448362722,0.57507360157016685,0.71599468320779791
Allocation concealment,4,2257,0.67489711934156371,0.69198312236286919,0.65863453815261042,0.71998227735932652
Allocation concealment,mean,11285,0.68097005712004866,0.70188120280338961,0.66547057830474343,0.71980505095259184
,,,,,,
Blinding of participants and personnel,0,1637,0.62521294718909715,0.8398169336384439,0.49796472184531887,0.73121563836285886
Blinding of participants and personnel,1,1637,0.66941467436108826,0.82186234817813764,0.56467315716272604,0.75503970678069643
Blinding of participants and personnel,2,1637,0.70690909090909093,0.71156661786237185,0.70231213872832365,0.75381795968234577
Blinding of participants and personnel,3,1636,0.62975778546712802,0.82915717539863321,0.50767085076708507,0.73838630806845962
Blinding of participants and personnel,4,1636,0.71133375078271766,0.6290143964562569,0.81844380403458217,0.7182151589242054
Blinding of participants and personnel,mean,8183,0.66852564974182438,0.76628349430676868,0.61821293450760728,0.73933495436371321
,,,,,,
Blinding of outcome assessment,0,569,0.63687150837988815,0.61956521739130432,0.65517241379310343,0.65729349736379616
Blinding of outcome assessment,1,569,0.54901960784313719,0.80000000000000004,0.41791044776119401,0.67662565905096661
Blinding of outcome assessment,2,569,0.64419475655430702,0.69918699186991873,0.59722222222222221,0.66608084358523723
Blinding of outcome assessment,3,569,0.68318584070796462,0.65202702702702697,0.71747211895910779,0.68541300527240778
Blinding of outcome assessment,4,569,0.65073529411764708,0.64130434782608692,0.66044776119402981,0.66608084358523723
Blinding of outcome assessment,mean,2845,0.63280140152058872,0.68241671682286742,0.60964499278593143,0.67029876977152902
,,,,,,
Incomplete outcome data,0,1686,0.71146616541353391,0.7094657919400188,0.71347785108388317,0.63582443653618026
Incomplete outcome data,1,1686,0.76254180602006683,0.67009551800146949,0.88457807953443257,0.66310794780545668
Incomplete outcome data,2,1686,0.75701337936987478,0.69437846397466352,0.83206831119544589,0.66607354685646503
Incomplete outcome data,3,1686,0.74267968056787925,0.70100502512562812,0.78962264150943395,0.65599051008303677
Incomplete outcome data,4,1685,0.72949705482555505,0.68862275449101795,0.7755298651252408,0.64569732937685465
Incomplete outcome data,mean,8429,0.74063961723938188,0.69271351070655951,0.79905534968968728,0.6533387541315987
,,,,,,
Selective reporting,0,1410,0.75255226057365099,0.6226870474658085,0.9508599508599509,0.63900709219858154
Selective reporting,1,1410,0.76405675249605887,0.69304099142040043,0.85128805620608894,0.6815602836879433
Selective reporting,2,1410,0.75983854692230068,0.64857881136950901,0.91717417783191235,0.66241134751773045
Selective reporting,3,1409,0.76461295418641395,0.67913938260056128,0.87469879518072291,0.6827537260468417
Selective reporting,4,1409,0.74130105900151289,0.6197301854974705,0.92220828105395236,0.63591199432221435
Selective reporting,mean,7048,0.75647231463598752,0.65263528367074986,0.90324585222652554,0.66032888875466234
,,,,,,
Other,0,1389,0.64697406340057639,0.64326647564469919,0.6507246376811594,0.64722822174226058
Other,1,1389,0.60048038430744599,0.73529411764705888,0.50744248985115026,0.64074874010079197
Other,2,1389,0.70470588235294118,0.60261569416498995,0.84844192634560911,0.63858891288696906
Other,3,1389,0.65472088215024127,0.62417871222076216,0.68840579710144922,0.63930885529157666
Other,4,1388,0.67262284620293544,0.62663495838287753,0.72589531680440766,0.6304034582132565
Other,mean,6944,0.65590081168282799,0.64639799161207756,0.68418203355675522,0.63925563764697091
,,,,,,
